site,sample_date,tow_type,tow_number,picture_date,individual_number,photo_number,species,length
ARM,8/19/2024,v,2,3/11/2025,1,7539,,0.764
ARM,8/19/2024,v,2,3/11/2025,2,7540,,0.811
ARM,8/19/2024,v,2,3/11/2025,3,7541,,0.755
ARM,8/19/2024,v,2,3/11/2025,4,7542,,0.752
ARM,8/19/2024,v,2,3/11/2025,5,7543,,0.772
ARM,8/19/2024,v,2,3/11/2025,6,7544,,0.793
ARM,8/19/2024,v,2,3/11/2025,7,7545,,0.793
ARM,8/19/2024,v,2,3/11/2025,8,7546,,0.732
ARM,8/19/2024,v,2,3/11/2025,9,7547,,0.753
ARM,8/19/2024,v,2,3/11/2025,10,7548,,0.805
ARM,8/19/2024,v,2,3/13/2025,1,7551,,0.813
ARM,8/19/2024,v,2,3/13/2025,2,7552,,0.804
ARM,8/19/2024,v,2,3/13/2025,3,7553,,0.676
ARM,8/19/2024,v,2,3/13/2025,4,7554,,0.799
ARM,8/19/2024,v,2,3/13/2025,5,7555,,0.75
ARM,8/19/2024,v,2,3/13/2025,6,7556,,0.746
ARM,8/19/2024,v,2,3/13/2025,7,7557,,0.761
ARM,8/19/2024,v,2,3/13/2025,8,7559,,0.828
ARM,8/19/2024,v,2,3/13/2025,9,7560,,0.699
ARM,8/19/2024,v,2,3/13/2025,10,7561,,0.764
ARM,8/19/2024,v,2,3/18/2025,1,7570,,0.76
ARM,8/19/2024,v,2,3/18/2025,2,7572,,0.807
ARM,8/19/2024,v,2,3/18/2025,3,7573,,0.742
ARM,8/19/2024,v,2,3/18/2025,4,7574,,0.782
ARM,8/19/2024,v,2,3/18/2025,5,7575,,0.843
ARM,8/19/2024,v,2,3/18/2025,6,7576,,0.736
ARM,8/19/2024,v,2,3/18/2025,7,7577,,0.754
ARM,8/19/2024,v,2,3/18/2025,8,7579,,0.74
ARM,8/19/2024,v,2,3/18/2025,9,7580,,0.8
ARM,8/19/2024,v,2,3/18/2025,10,7581,,0.692
GMS,8/19/2024,v,2,3/25/2025,1,7592,,0.81
GMS,8/19/2024,v,2,3/25/2025,2,7593,,0.759
GMS,8/19/2024,v,2,3/25/2025,3,7594,,0.726
GMS,8/19/2024,v,2,3/25/2025,4,7595,,0.713
GMS,8/19/2024,v,2,3/25/2025,5,7596,,0.811
GMS,8/19/2024,v,2,3/25/2025,6,7597,,0.876
GMS,8/19/2024,v,2,3/25/2025,7,7598,,0.853
GMS,8/19/2024,v,2,3/25/2025,8,7599,,0.875
GMS,8/19/2024,v,2,3/25/2025,9,7600,,0.755
GMS,8/19/2024,v,2,3/25/2025,10,7601,,0.858
GMS,8/19/2024,v,2,3/25/2025,11,7603,E.Americana,0.676
GMS,8/19/2024,v,2,3/25/2025,12,7604,,0.819
GMS,8/19/2024,v,2,3/25/2025,13,7605,,0.781
GMS,8/19/2024,v,2,3/25/2025,14,7606,,0.871
GMS,8/19/2024,v,2,3/25/2025,15,7607,,0.7
GMS,8/19/2024,v,2,3/25/2025,16,7608,,0.746
GMS,8/19/2024,v,2,3/25/2025,17,7609,,0.826
GMS,8/19/2024,v,2,3/25/2025,18,7610,E.Americana,0.693
GMS,8/19/2024,v,2,3/25/2025,19,7611,,0.79
GMS,8/19/2024,v,2,3/25/2025,20,7614,,0.845
GMS,8/19/2024,v,2,3/25/2025,21,7615,,0.754
GMS,8/19/2024,v,2,3/25/2025,22,7616,,0.717
GMS,8/19/2024,v,2,3/25/2025,23,7617,,0.874
GMS,8/19/2024,v,2,3/25/2025,24,7618,E.Americana,0.684
GMS,8/19/2024,v,2,3/25/2025,25,7619,,0.805
GMS,8/19/2024,v,2,3/25/2025,26,7620,,0.705
GMS,8/19/2024,v,2,3/25/2025,27,7621,,0.715
GMS,8/19/2024,v,2,3/25/2025,28,7622,,0.813
GMS,8/19/2024,v,2,3/25/2025,29,7623,,0.867
GMS,8/19/2024,v,2,3/25/2025,30,7624,,0.85
EBM,8/19/2024,s,1,3/27/2025,1,7633,E.Herdmani,0.855
EBM,8/19/2024,s,1,3/27/2025,2,7634,E.Herdmani,0.861
EBM,8/19/2024,s,1,3/27/2025,3,7635,E.Herdmani,0.827
EBM,8/19/2024,s,1,3/27/2025,4,7636,E.Americana,0.721
EBM,8/19/2024,s,1,3/27/2025,5,7637,E.Americana,0.785
EBM,8/19/2024,s,1,3/27/2025,6,7638,E.Americana,0.764
EBM,8/19/2024,s,1,3/27/2025,7,7639,E.Americana,0.792
EBM,8/19/2024,s,1,3/27/2025,8,7640,E.Americana,0.781
EBM,8/19/2024,s,1,3/27/2025,9,7641,E.Americana,0.747
PIM,8/19/2024,v,2,4/1/2025,1,7646,E.Herdmani,0.75
PIM,8/19/2024,v,2,4/1/2025,2,7647,E.Herdmani,0.728
PIM,8/19/2024,v,2,4/1/2025,3,7648,E.Herdmani,0.668
PIM,8/19/2024,v,2,4/1/2025,4,7649,E.Herdmani,0.699
PIM,8/19/2024,v,2,4/1/2025,5,7650,E.Herdmani,0.71
PIM,8/19/2024,v,2,4/1/2025,6,7651,E.Herdmani,0.869
PIM,8/19/2024,v,2,4/1/2025,7,7652,E.Herdmani,0.719
PIM,8/19/2024,v,2,4/1/2025,8,7653,E.Herdmani,0.759
PIM,8/19/2024,v,2,4/1/2025,9,7655,E.Herdmani,0.866
PIM,8/19/2024,v,2,4/1/2025,10,7657,E.Herdmani,0.711
PIM,8/19/2024,v,2,4/1/2025,11,7658,E.Herdmani,0.865
PIM,8/19/2024,v,2,4/1/2025,12,7659,E.Herdmani,0.658
PIM,8/19/2024,v,2,4/1/2025,13,7660,E.Herdmani,0.688
PIM,8/19/2024,v,2,4/1/2025,14,7661,E.Herdmani,0.785
PIM,8/19/2024,v,2,4/1/2025,15,7662,E.Herdmani,0.695
